,keyword,type,date,index
0,幽门螺杆菌,all,2017-01-01,170
0,幽门螺杆菌,all,2017-01-02,181
0,幽门螺杆菌,all,2017-01-03,184
0,幽门螺杆菌,all,2017-01-04,213
0,幽门螺杆菌,all,2017-01-05,205
0,幽门螺杆菌,all,2017-01-06,217
0,幽门螺杆菌,all,2017-01-07,213
0,幽门螺杆菌,all,2017-01-08,213
0,幽门螺杆菌,all,2017-01-09,197
0,幽门螺杆菌,all,2017-01-10,199
0,幽门螺杆菌,all,2017-01-11,181
0,幽门螺杆菌,all,2017-01-12,186
0,幽门螺杆菌,all,2017-01-13,209
0,幽门螺杆菌,all,2017-01-14,177
0,幽门螺杆菌,all,2017-01-15,181
0,幽门螺杆菌,all,2017-01-16,213
0,幽门螺杆菌,all,2017-01-17,223
0,幽门螺杆菌,all,2017-01-18,202
0,幽门螺杆菌,all,2017-01-19,202
0,幽门螺杆菌,all,2017-01-20,210
0,幽门螺杆菌,all,2017-01-21,195
0,幽门螺杆菌,all,2017-01-22,169
0,幽门螺杆菌,all,2017-01-23,181
0,幽门螺杆菌,all,2017-01-24,204
0,幽门螺杆菌,all,2017-01-25,159
0,幽门螺杆菌,all,2017-01-26,160
0,幽门螺杆菌,all,2017-01-27,140
0,幽门螺杆菌,all,2017-01-28,166
0,幽门螺杆菌,all,2017-01-29,168
0,幽门螺杆菌,all,2017-01-30,166
0,幽门螺杆菌,all,2017-01-31,164
0,幽门螺杆菌,all,2017-02-01,142
0,幽门螺杆菌,all,2017-02-02,163
0,幽门螺杆菌,all,2017-02-03,187
0,幽门螺杆菌,all,2017-02-04,185
0,幽门螺杆菌,all,2017-02-05,172
0,幽门螺杆菌,all,2017-02-06,206
0,幽门螺杆菌,all,2017-02-07,198
0,幽门螺杆菌,all,2017-02-08,217
0,幽门螺杆菌,all,2017-02-09,225
0,幽门螺杆菌,all,2017-02-10,189
0,幽门螺杆菌,all,2017-02-11,185
0,幽门螺杆菌,all,2017-02-12,177
0,幽门螺杆菌,all,2017-02-13,230
0,幽门螺杆菌,all,2017-02-14,204
0,幽门螺杆菌,all,2017-02-15,187
0,幽门螺杆菌,all,2017-02-16,199
0,幽门螺杆菌,all,2017-02-17,249
0,幽门螺杆菌,all,2017-02-18,247
0,幽门螺杆菌,all,2017-02-19,203
0,幽门螺杆菌,all,2017-02-20,223
0,幽门螺杆菌,all,2017-02-21,260
0,幽门螺杆菌,all,2017-02-22,251
0,幽门螺杆菌,all,2017-02-23,260
0,幽门螺杆菌,all,2017-02-24,240
0,幽门螺杆菌,all,2017-02-25,231
0,幽门螺杆菌,all,2017-02-26,200
0,幽门螺杆菌,all,2017-02-27,240
0,幽门螺杆菌,all,2017-02-28,243
0,幽门螺杆菌,all,2017-03-01,228
0,幽门螺杆菌,all,2017-03-02,219
0,幽门螺杆菌,all,2017-03-03,235
0,幽门螺杆菌,all,2017-03-04,257
